x0,x1,x2,x3,y,x4,x5
0.5,A1,A3,A4,1046,5.08,5.09
0.41,A3,A2,A1,827,4.8,4.84
0.72,A4,A4,A4,2203,5.6,5.54
0.3,A3,A3,A0,526,4.27,4.31
0.51,A0,A2,A3,1652,5.09,5.14
0.56,A0,A1,A0,1608,5.24,
0.62,A1,A6,A4,1348,5.39,5.53
0.48,A3,A6,A1,1279,5.01,
0.3,A0,A5,A0,422,4.27,
0.79,A0,A6,A6,4180,5.93,5.96
0.56,A3,A6,A3,2016,5.41,5.38
0.34,A0,A2,A1,596,4.48,
0.43,A0,A5,A5,1120,4.88,
0.78,A0,A6,A1,3531,5.94,5.9
0.54,A0,A3,A1,1847,5.26,
1.0,A2,A6,,4844,6.25,6.32
1.0,A2,A1,A4,4065,6.21,6.3
0.9,A3,A1,,4693,6.11,6.18
0.54,A3,A1,A0,1770,5.38,
1.34,A1,A1,A4,7230,6.99,
0.58,A0,A1,A5,3741,5.34,5.36
2.11,A0,A5,A0,15486,8.37,8.29
0.34,A3,A3,A0,765,4.5,4.47
0.51,A3,A1,A4,1264,5.08,5.12
1.01,A2,A3,A1,6399,6.35,
0.7,A0,A5,A4,2079,5.66,5.71
0.27,A1,A3,,470,4.2,4.31
1.5,A0,A5,A1,9408,7.39,7.31
2.19,A0,A5,A4,16147,8.26,8.3
0.33,A3,A2,A3,666,4.43,4.45
0.7,A2,A4,A6,2475,5.73,5.61
0.3,A1,A3,,949,4.29,
1.01,A2,A2,,7528,6.34,6.38
0.48,A4,A3,A1,1215,4.94,
0.33,A0,A3,A1,738,4.52,4.56
1.52,A0,A3,A1,15488,7.42,7.32
0.33,A0,A2,A3,854,4.45,
0.51,A0,A5,A0,1000,5.12,5.15
1.4,A2,A2,A6,11519,7.04,7.12
0.33,A0,A3,A1,723,4.41,4.44
1.19,A3,A4,A3,7277,6.79,
1.21,A1,A5,A1,5387,6.79,6.72
0.32,A0,A2,A3,828,4.43,4.39
1.25,A0,A5,A0,6352,6.97,
0.6,A3,A4,A0,1170,5.4,5.34
0.31,A0,A3,A1,642,4.35,4.37
1.0,A1,A1,A0,5320,6.29,6.4
1.02,A1,A3,A4,4404,6.33,
1.03,A1,A6,,4996,6.42,6.49
0.53,A3,A2,A3,1813,5.2,
0.52,A1,A1,A0,1323,5.08,
1.2,A0,A5,A6,6581,6.91,
0.41,A0,A3,A6,1363,4.83,4.86
0.46,A1,A4,A5,1572,4.96,4.98
0.54,A0,A6,A3,1774,5.28,5.3
0.41,A0,A6,A1,863,4.72,4.78
0.43,A3,A1,A5,1584,4.89,
1.22,A1,A2,A0,6656,6.82,6.88
1.1,A3,A4,A0,4916,6.6,6.55
0.33,A0,A6,A1,666,4.43,
1.04,A0,A4,A3,6368,6.5,6.52
0.76,A1,A2,A1,3170,5.84,5.95
1.06,A0,A5,A4,3146,6.51,
1.71,A0,A0,,6320,7.58,
0.42,A0,A3,A5,1369,4.91,
0.33,A0,A6,A0,705,4.49,
0.33,A0,A5,A5,592,4.46,4.49
0.71,A1,A6,A4,3075,5.71,5.73
1.06,A1,A2,,4162,6.55,6.61
1.01,A0,A1,A4,5006,6.52,6.47
0.27,A0,A6,,796,4.16,
0.41,A3,A0,A3,830,4.79,4.72
0.33,A1,A1,A3,727,4.48,
0.23,A3,A3,A5,680,4.01,3.95
0.72,A0,A1,A0,2731,5.75,
0.53,A0,A6,A5,2860,5.23,
1.19,A0,A2,A3,9918,6.78,6.81
0.7,A1,A3,A0,2604,5.63,
1.21,A3,A4,A1,6708,7.01,6.98
0.3,A0,A2,A3,605,4.28,4.34
0.91,A0,A3,,9636,6.18,6.23
1.7,A3,A6,A0,13766,7.63,
1.06,A2,A3,A4,4257,6.63,
1.74,A0,A0,,9208,7.73,7.69
0.75,A0,A6,A4,2393,5.86,5.81
0.34,A0,A4,A6,852,4.48,4.51
1.23,A0,A2,A5,11417,6.89,6.93
0.5,A1,A3,A1,1624,5.05,5.1
0.4,A0,A2,,931,4.68,
0.3,A0,A3,A6,789,4.31,4.34
1.12,A3,A6,A3,7903,6.72,6.68
1.01,A3,A4,A4,3959,6.39,6.35
1.04,A0,A6,A1,8415,6.53,
0.41,A3,A2,A3,961,4.76,
0.5,A0,A3,A0,1410,5.09,5.13
0.75,A2,A2,A4,2115,5.66,
0.46,A0,A5,A0,850,4.97,4.98
0.33,A3,A3,,693,4.59,4.54
0.25,A0,A2,A3,438,4.05,
1.25,A3,A3,A1,10640,6.98,6.91
,A0,A2,A0,1408,5.33,5.38
0.35,A3,A1,A1,1063,4.56,4.54
1.5,A0,A5,A3,9618,7.4,7.35
1.22,A3,A1,A1,9581,6.74,6.79
0.3,A3,A3,A0,675,4.37,4.35
1.0,A3,A6,A0,5060,6.36,
0.31,A3,A2,A3,802,4.34,
0.39,A0,A2,A3,853,4.66,4.69
0.7,A3,A3,A0,2592,5.8,5.74
1.32,A0,A3,,7037,7.03,
0.32,A0,A4,A5,708,4.41,4.43
1.06,A0,A5,A4,4103,6.47,6.52
0.31,A0,A1,A2,1251,4.39,
0.54,A0,A6,A6,2216,5.25,5.27
1.01,A1,A3,A0,5229,6.36,6.4
1.83,A3,A5,A3,13711,7.91,
1.51,A3,A0,A1,7553,7.36,
0.93,A3,A4,A0,3646,6.24,
2.03,A4,A4,A7,6002,7.91,7.85
0.55,A1,A6,A0,1316,5.27,
1.0,A4,A6,A1,4732,6.11,6.04
0.33,A0,A3,,852,4.36,4.4
0.41,A0,A2,,827,4.75,4.79
0.71,A1,A5,,2003,5.76,
0.71,A4,A0,A4,1362,5.53,
1.55,A0,A3,A0,13171,7.36,7.4
1.07,A0,A2,A4,4419,6.56,
0.41,A0,A1,A1,1007,4.77,4.8
0.54,A0,A1,A1,1993,5.24,5.18
1.0,A1,A2,A4,4195,6.45,6.48
0.32,A0,A3,A6,808,4.43,4.45
1.1,A0,A4,A3,6470,6.65,
2.0,A2,A0,A4,11036,7.97,8.06
0.31,A3,A4,A5,707,4.33,
1.8,A2,A6,A4,12308,8.13,8.08
1.07,A0,A0,A1,4602,6.55,6.59
0.5,A3,A6,A1,1654,5.09,
1.23,A0,A4,A1,6406,7.05,6.99
0.71,A1,A3,A1,2954,5.8,5.85
0.71,A1,A6,A7,1448,5.64,5.57
1.75,A0,A5,A6,14394,7.72,7.69
1.0,A0,A0,A4,3465,6.34,6.41
0.42,A0,A4,A3,1087,4.79,4.76
0.33,A3,A4,A1,668,4.47,
0.32,A3,A6,A5,926,4.37,4.4
0.51,A3,A4,A3,1381,5.16,
1.51,A1,A1,,9627,7.43,7.48
0.91,A3,A6,A0,3644,6.23,6.18
0.31,A1,A4,A1,489,4.32,4.34
1.22,A3,A6,A5,11830,6.85,6.81
1.26,A3,A3,A5,14952,6.99,
0.6,A1,A3,A3,2177,5.39,5.3
0.23,A1,A1,A1,362,3.86,3.89
0.59,A0,A2,A1,1774,5.36,5.39
1.5,A1,A2,A4,8148,7.28,
0.84,A1,A3,A0,3453,6.16,6.28
0.68,A1,A2,A3,2114,5.68,
0.55,A0,A2,A3,1881,5.32,5.29
0.9,A2,A1,A0,4469,6.21,6.3
1.54,A3,A4,,5071,7.4,
0.77,A3,A3,A0,2975,6.0,5.88
0.7,A1,A2,A4,2058,5.65,5.69
1.06,A0,A6,A2,12539,6.54,
1.51,A3,A3,A0,8836,7.4,7.27
0.57,A3,A6,A1,1760,5.44,
0.64,A3,A3,A0,1811,5.57,5.53
0.7,A0,A3,A0,2846,5.71,5.76
0.53,A0,A1,A0,1631,5.22,
0.85,A3,A6,A6,4530,6.1,6.13
1.11,A1,A5,,4442,6.59,
0.39,A0,A3,A1,839,4.75,4.77
1.01,A0,A3,A4,4921,6.46,
2.07,A0,A2,A4,17614,8.16,8.21
0.42,A3,A1,A0,970,4.89,
1.0,A2,A3,A1,5984,6.29,6.34
0.27,A0,A3,A6,799,4.14,4.12
6.012335589039604,A0,A4,A6,705,4.62,4.64
1.05,A1,A3,A1,6865,6.44,
0.72,A3,A6,A4,1676,5.81,5.76
0.81,A0,A3,A0,3373,6.01,
0.78,A0,A3,A4,2596,5.96,
0.5,A2,A2,,1976,5.05,5.08
0.3,A1,A4,A6,605,4.34,4.37
0.8,A3,A2,A1,3002,6.02,
0.3,A0,A2,A2,863,4.31,4.34
0.31,A0,A2,A5,1046,4.43,
0.39,A2,A2,A2,1213,4.65,4.67
0.48,A2,A2,A1,1130,5.06,5.11
0.7,A1,A1,A4,1990,5.68,
0.5,A3,A3,A0,1238,5.1,
1.53,A3,A5,A0,8911,7.39,7.32
1.16,A0,A3,A4,5991,6.71,6.77
0.5,A1,A2,A3,1624,5.13,5.17
1.21,A2,A3,A3,8902,6.73,6.78
1.5,A2,A3,A0,11179,7.43,7.5
0.36,A2,A3,A0,631,4.49,
1.01,A1,A2,A0,5192,6.31,6.35
0.96,A0,A6,A4,4500,6.31,6.36
0.41,A2,A6,A0,705,4.73,
0.56,A0,A4,A1,1427,5.31,5.33
1.0,A2,A2,A1,6369,6.42,6.45
1.02,A3,A5,A1,4662,6.54,
0.32,A2,A1,A0,550,4.35,4.36
0.32,A0,A6,A6,1008,4.43,4.4
0.3,A0,A2,A2,813,4.33,
1.7,A0,A5,A0,9901,7.57,
0.34,A0,A6,A5,935,4.45,4.48
2.21,A3,A4,A4,13872,8.51,8.46
1.01,A3,A1,A0,5147,6.4,6.34
0.27,A1,A1,,544,4.14,4.15
1.8,A0,A6,A0,16364,7.79,7.83
0.43,A0,A1,A5,1584,4.81,4.82
0.81,A0,A1,A4,3160,5.96,
2.0,A3,A1,A4,17674,8.09,8.2
0.43,A0,A2,A6,1056,4.85,4.9
1.51,A3,A5,A3,9640,7.51,
1.01,A4,A1,A0,4276,6.32,6.18
0.3,A3,A2,A3,776,4.33,4.3
0.7,A0,A3,A1,2633,5.68,5.73
0.31,A0,A0,A0,418,4.37,
0.31,A0,A1,A3,877,4.36,4.34
1.01,A1,A6,A1,5988,6.4,
1.02,A3,A4,A0,4819,6.54,
2.01,A0,A4,A0,17403,8.14,8.05
0.31,A0,A3,A4,421,4.42,4.45
0.38,A1,A4,A1,700,4.68,4.7
0.34,A0,A1,A5,1133,4.49,
1.09,A0,A4,A0,4784,6.56,6.59
1.03,A0,A6,A0,5378,6.58,6.51
2.03,A3,A0,A0,12862,8.06,
1.02,A0,A1,A3,8658,6.48,6.53
2.14,A3,A5,A0,15499,8.42,
0.41,A0,A2,A3,899,4.7,
1.08,A0,A3,A6,10313,6.55,6.59
2.01,A2,A4,A0,15467,7.81,
0.6,A3,A2,A6,2105,5.55,
1.23,A0,A2,A3,8465,6.89,6.86
0.42,A3,A6,A5,1326,4.81,4.84
0.7,A1,A6,A6,2932,5.66,
0.33,A0,A2,A1,598,4.45,
0.61,A0,A5,A1,1380,5.44,5.49
0.33,A0,A1,,781,4.43,4.46
0.58,A0,A1,A5,3154,5.34,5.35
0.53,A1,A6,A4,1110,5.17,5.18
0.65,A2,A2,A0,1828,5.64,
1.5,A3,A6,A0,11484,7.31,7.34
1.5,A0,A2,A0,12009,7.38,7.41
0.72,A0,A5,A1,2511,5.69,
0.51,A3,A6,A1,1574,5.1,5.07
1.06,A0,A4,A4,4452,6.67,6.63
1.24,A0,A4,A4,5797,6.87,6.9
2.0,A2,A2,A4,10416,7.87,
1.0,A3,A6,,5606,6.11,6.07
0.71,A0,A6,A0,2770,5.77,
2.03,A3,A0,A3,14588,8.36,
0.39,A3,A2,A2,1271,4.84,
1.52,A1,A2,A1,12840,7.36,
1.02,A0,A4,A0,5522,6.51,6.55
0.37,A0,A6,A5,1406,4.75,4.71
0.41,A3,A2,A3,899,4.79,
0.73,A1,A6,A0,2675,5.74,
1.01,A2,A3,A1,6517,6.55,
0.96,A3,A0,A0,3187,6.3,
0.34,A3,A2,A1,765,4.56,4.51
1.75,A0,A4,A7,7680,7.73,7.75
0.58,A0,A3,A3,2192,5.34,5.31
0.54,A0,A3,A0,1422,5.22,
1.01,A3,A6,A6,8579,6.52,6.5
1.07,A0,A2,A1,7275,6.56,6.63
0.53,A0,A6,A6,2291,5.23,5.27
1.06,A3,A4,A1,5783,6.5,
0.33,A0,A2,A3,854,4.47,
0.32,A0,A3,A6,1080,4.4,4.37
0.6,A3,A1,A4,1196,5.43,5.35
0.72,A3,A3,,1808,5.88,5.85
1.21,A0,A2,A3,9026,6.87,6.85
0.9,A4,A6,A0,3326,6.0,
0.9,A1,A1,A0,4514,6.18,6.22
1.52,A3,A6,A3,15522,7.42,
2.09,A0,A5,A1,17999,8.13,8.17
1.0,A0,A6,A1,6209,6.35,6.3
0.9,A1,A1,A0,4419,6.19,6.34
0.31,A0,A2,A2,891,4.38,4.41
1.06,A1,A1,A5,11815,6.49,6.52
0.52,A3,A6,A7,870,5.18,
0.57,A0,A2,A5,2259,5.33,5.35
1.01,A2,A3,A1,6843,6.31,
0.31,A3,A3,A1,544,4.34,4.39
1.04,A0,A2,A1,6542,6.48,6.42
0.58,A0,A2,A5,2772,5.39,
0.74,A0,A4,A5,3804,5.84,5.91
1.02,A1,A3,A7,3455,6.47,6.52
1.08,A0,A1,A0,6539,6.68,
1.51,A2,A4,,7340,7.53,7.39
1.01,A1,A1,A6,10453,6.34,6.4
0.32,A0,A1,A1,972,4.41,
1.0,A1,A6,A2,9248,6.31,6.34
0.31,A1,A2,,523,4.34,4.29
0.41,A0,A2,A1,1061,4.84,4.79
1.64,A3,A4,A0,10874,7.76,
1.0,A2,A4,A4,4125,6.31,6.33
1.0,A2,A3,A4,3819,6.27,6.32
0.71,A0,A3,A0,2651,5.67,5.72
,A0,A2,A2,988,4.39,
0.57,A0,A2,A6,2206,5.41,
0.73,A3,A6,A0,2504,5.78,5.81
1.01,A2,A2,A6,7137,6.34,6.38
0.53,A0,A4,A1,1412,5.19,5.15
0.58,A2,A2,,1295,5.28,5.34
,A1,A4,A4,4112,6.38,6.45
0.9,A2,A1,A0,4419,6.15,6.17
1.69,A3,A6,A1,16583,7.87,
1.03,A1,A4,A0,4879,6.45,
1.2,A0,A4,A3,8039,6.84,6.88
0.59,A3,A6,A1,1769,5.45,5.41
0.32,A4,A6,A0,638,4.36,4.33
1.53,A2,A5,A0,8095,7.28,
1.0,A3,A6,A0,3528,6.39,
0.31,A2,A1,A4,462,4.27,4.3
0.5,A1,A1,A2,3378,4.99,5.09
0.4,A2,A5,A5,842,4.67,
1.01,A1,A3,A1,6666,6.36,6.39
0.36,A0,A3,A3,852,4.54,4.58
2.61,A2,A5,A4,13784,8.66,
0.32,A0,A1,A5,1064,4.45,4.43
0.63,A0,A6,A1,2182,5.56,5.51
0.4,A3,A3,A0,945,4.71,
0.3,A4,A6,A3,593,4.25,
0.3,A3,A5,A3,608,4.32,
1.34,A0,A2,A1,9233,7.05,7.1
0.53,A0,A2,A1,1769,5.15,5.2
0.4,A0,A2,A6,931,4.75,4.78
1.23,A1,A3,A1,9193,6.98,
1.0,A3,A2,A3,6606,6.35,
1.03,A0,A6,A5,10619,6.43,
0.71,A3,A5,A1,2300,5.89,5.81
0.32,A0,A6,A1,645,4.35,4.37
0.71,A2,A5,A3,2161,5.62,5.66
0.9,A2,A2,A0,3250,6.04,6.01
1.24,A3,A4,A4,5694,7.02,6.87
1.7,A2,A0,A1,8134,7.53,7.48
0.52,A0,A2,A6,1858,5.22,
1.01,A0,A3,A1,7288,6.44,6.48
0.65,A3,A6,A1,1853,5.68,5.65
2.02,A3,A2,A0,16323,8.07,
0.31,A0,A3,A3,804,4.38,4.35
1.2,A3,A2,,5846,6.77,
1.26,A3,A5,A4,5207,7.03,
0.75,A4,A6,A1,2648,5.63,5.68
1.01,A3,A5,A1,4676,6.44,6.39
1.64,A3,A3,A4,8835,7.54,7.51
1.65,A3,A2,A7,6912,7.57,
0.34,A0,A4,A1,689,4.54,
1.01,A3,A2,A6,7466,6.37,
2.21,A0,A4,A4,13615,8.4,8.36
0.34,A1,A5,A0,459,4.51,
0.5,A4,A2,A3,1327,5.13,5.09
0.5,A3,A6,A0,1286,5.23,5.19
0.54,A3,A2,A1,1637,5.21,5.18
1.7,A3,A5,A1,10910,7.61,
0.52,A0,A3,A1,1815,5.23,
2.0,A3,A5,A1,17716,8.11,8.04
1.01,A0,A2,A1,6024,6.49,6.44
0.43,A1,A2,A5,1207,4.77,4.83
0.71,A0,A4,A3,3229,5.72,
0.35,A0,A2,A6,676,4.49,4.52
1.28,A3,A4,A4,5161,6.89,6.84
0.37,A0,A1,A1,763,4.63,4.66
0.52,A0,A6,A2,2783,5.14,5.18
0.34,A3,A4,A1,537,4.51,4.56
1.07,A0,A4,,5123,6.68,6.61
1.09,A0,A2,A1,7081,6.61,6.56
2.02,A1,A0,,12915,7.98,7.93
1.23,A1,A4,A0,6458,6.91,6.86
1.01,A3,A6,A6,9013,6.5,6.45
0.5,A3,A1,A0,1654,5.07,5.04
0.4,A0,A1,A0,690,4.75,4.82
0.55,A0,A2,A6,1948,5.36,5.37
1.53,A1,A6,A3,15079,7.48,7.51
1.01,A3,A1,A0,5543,6.47,
0.31,A0,A1,A3,713,4.3,4.33
0.9,A1,A5,A1,3992,6.27,6.3
1.0,A0,A1,A0,4592,6.33,
0.32,A0,A1,A1,912,4.43,
0.53,A0,A3,A1,1607,5.17,5.21
0.34,A0,A6,A5,959,4.51,
1.01,A4,A1,A4,4205,6.33,6.19
0.37,A3,A6,A0,791,4.6,4.56
0.36,A3,A3,A4,505,4.56,
0.52,A0,A1,A0,1651,5.19,5.14
1.21,A0,A4,A0,6180,6.91,6.83
1.75,A0,A2,A1,17343,7.76,
0.28,A1,A1,A5,642,4.23,4.25
0.3,A0,A6,A6,694,4.33,4.35
1.75,A3,A6,A1,17172,7.76,7.72
1.53,A3,A2,A4,6788,7.52,7.49
0.44,A3,A3,A1,1073,4.91,
1.35,A3,A0,A0,4082,7.15,7.09
0.38,A2,A0,A6,666,4.56,
0.34,A3,A2,A0,507,4.5,
0.32,A1,A2,A3,645,4.29,4.35
0.36,A3,A6,,770,4.62,4.58
0.5,A0,A3,A6,2346,5.11,
0.91,A3,A1,A0,4352,6.15,6.11
0.52,A0,A1,A0,1605,5.18,5.15
0.5,A0,A3,A4,1181,5.08,
1.0,A2,A2,A3,4805,6.38,6.31
0.8,A1,A6,A0,2745,5.9,
1.52,A4,A4,A7,3504,7.18,7.13
1.68,A0,A4,A0,13375,7.63,
2.07,A3,A4,A0,14476,8.2,8.12
1.16,A3,A2,A1,7203,6.88,6.85
1.01,A3,A2,,4327,6.39,6.34
1.5,A3,A1,A1,15052,7.48,7.36
1.08,A1,A3,A4,5805,6.5,6.52
0.4,A0,A4,A2,1074,4.76,4.77
0.33,A0,A2,A1,743,4.52,4.46
0.34,A0,A3,A3,1033,4.51,
0.75,A0,A2,A4,2378,5.82,
0.55,A0,A1,A1,2030,5.28,
0.72,A2,A6,A0,2563,5.67,5.62
0.31,A0,A6,A2,914,4.35,4.38
0.38,A3,A2,A1,983,4.7,
0.31,A3,A2,,816,4.37,4.4
0.42,A0,A2,A6,961,4.83,
0.36,A0,A5,A6,655,4.55,4.58
0.32,A3,A4,A5,730,4.4,4.43
1.2,A1,A2,A3,8150,6.84,
1.21,A1,A4,A4,5324,6.7,6.75
0.4,A0,A6,A5,1168,4.77,4.79
0.74,A4,A2,A6,2959,5.7,
0.7,A4,A6,A1,2762,5.63,5.58
1.01,A2,A6,A0,5378,6.29,6.33
0.9,A2,A2,A0,3226,6.29,6.23
0.34,A0,A3,A1,760,4.49,4.5
0.7,A3,A6,A0,2333,5.65,
0.79,A0,A1,A0,3270,6.01,5.96
2.03,A3,A2,A7,6377,8.11,
2.0,A3,A4,A4,15451,8.2,
0.41,A3,A3,A0,969,4.83,4.79
2.22,A3,A6,A4,13553,8.54,8.46
0.32,A0,A2,A1,672,4.39,4.36
0.7,A2,A4,A0,2176,5.72,5.65
0.41,A2,A5,A3,969,4.72,
0.9,A0,A4,,4964,6.21,6.14
0.9,A3,A1,,4304,6.19,6.14
0.5,A1,A6,A3,1692,5.08,
0.74,A0,A1,A0,2655,5.81,5.77
0.75,A0,A2,A1,2939,5.93,
1.03,A0,A1,A4,4679,6.46,
0.41,A2,A1,A1,873,4.74,4.79
0.75,A0,A6,,3710,5.83,
0.9,A1,A6,A0,3854,6.19,
0.71,A1,A2,A0,2240,5.6,5.69
0.43,A4,A4,A0,984,4.78,4.72
,A0,A6,,18435,7.12,7.17
0.4,A3,A6,A0,737,4.7,4.74
0.54,A0,A6,A1,1680,5.29,
0.36,A0,A3,A0,631,4.56,4.59
0.32,A0,A1,A6,804,4.43,4.46
,A0,A0,A3,421,4.41,
1.01,A3,A5,A4,3818,6.43,6.38
0.32,A2,A1,A0,756,4.35,
0.5,A1,A1,A6,2115,5.02,
0.51,A0,A3,A0,1443,5.14,
0.72,A1,A5,,2337,5.7,
0.72,A0,A4,A5,3180,5.74,5.76
0.32,A3,A1,,756,4.4,4.36
1.01,A3,A2,A6,5963,6.44,
0.3,A0,A4,A5,819,4.28,4.25
0.61,A1,A3,A0,1726,5.36,
0.4,A3,A3,A0,945,4.74,4.69
0.23,A4,A2,A6,369,3.87,
2.13,A3,A5,A0,13370,8.18,8.13
0.33,A2,A5,A6,743,4.4,4.36
0.96,A0,A2,A0,4355,6.27,6.24
0.91,A0,A3,A0,4392,6.2,6.26
0.7,A2,A3,A4,2310,5.88,
1.01,A3,A2,A1,5701,6.46,
1.25,A2,A6,A1,6440,6.76,6.71
1.16,A0,A5,A0,5091,6.71,6.67
1.5,A3,A4,A3,11189,7.44,7.39
1.51,A3,A0,A0,7314,7.58,7.53
1.2,A1,A2,A1,7741,6.74,6.66
0.46,A1,A2,A3,1179,4.94,4.97
1.0,A2,A2,A1,5621,6.31,6.39
0.32,A1,A1,A0,756,4.38,
0.44,A2,A3,A0,756,4.84,
0.3,A0,A3,A3,670,4.27,
0.31,A0,A3,A3,942,4.37,4.32
0.3,A0,A3,A1,658,4.28,4.31
0.78,A1,A6,A3,3744,5.89,5.94
0.72,A0,A6,A0,2737,5.76,5.79
0.73,A3,A6,A3,2961,5.81,
0.56,A0,A1,A1,1963,5.3,5.35
1.21,A3,A4,A4,5082,7.05,
2.06,A1,A5,,14298,8.12,
0.52,A3,A3,A1,1576,5.14,5.16
0.34,A0,A2,A3,657,4.52,4.54
0.31,A3,A1,A0,571,4.33,
0.23,A1,A1,A6,530,3.95,4.0
0.42,A0,A5,A5,865,4.84,
1.7,A1,A4,,7235,7.5,7.43
1.28,A3,A0,A0,5290,7.13,7.0
0.52,A0,A2,A6,1932,5.15,5.13
,A1,A6,A3,3226,5.79,5.85
0.7,A1,A6,A1,2400,5.64,5.71
0.31,A1,A4,A3,698,4.32,4.29
1.06,A3,A2,A1,6325,6.67,
1.01,A2,A6,A0,4989,6.48,
0.41,A3,A5,A6,1061,4.73,4.7
0.7,A3,A4,A4,1808,5.75,5.72
0.43,A0,A0,A6,710,4.89,
2.01,A4,A0,A1,13744,7.82,7.78
0.31,A0,A2,A3,587,4.39,4.42
0.3,A1,A2,A1,675,4.28,4.25
1.2,A3,A4,A1,6500,6.75,6.7
1.23,A3,A6,A4,5695,6.89,6.86
1.17,A0,A5,A0,6405,6.73,6.78
0.51,A4,A3,A0,1237,5.07,5.02
1.06,A3,A3,A0,5485,6.55,6.51
0.9,A3,A4,A6,4355,6.16,6.13
0.5,A1,A1,,1750,5.09,
1.2,A0,A1,,13165,6.78,6.81
0.4,A0,A4,A6,877,4.69,
1.6,A3,A2,A0,11189,7.43,7.4
1.0,A1,A5,A0,4125,6.3,6.33
0.32,A3,A4,A5,936,4.41,4.37
1.07,A4,A2,,3545,6.34,
0.41,A0,A6,A1,1107,4.88,
0.33,A3,A2,A3,854,4.45,4.43
0.3,A3,A6,,673,4.41,
0.3,A0,A3,A1,844,4.33,
0.51,A0,A3,A5,3226,5.21,5.13
1.15,A0,A5,A3,5626,6.76,6.67
1.54,A0,A5,A1,7848,7.51,7.46
1.0,A3,A0,A3,4144,6.39,6.35
0.58,A0,A3,A1,1984,5.38,5.35
2.0,A3,A2,A4,15485,8.07,8.0
2.06,A0,A0,A4,11337,8.23,8.19
,A0,A6,A2,886,4.3,4.32
1.07,A0,A4,A3,6479,6.66,6.69
0.3,A1,A1,A1,710,4.25,4.3
0.24,A0,A4,A5,504,4.02,4.05
0.25,A1,A2,,407,4.05,4.08
0.34,A0,A1,A1,805,4.45,4.48
1.58,A1,A4,A3,12483,7.53,
1.03,A3,A5,A3,5104,6.57,
1.12,A3,A2,A3,7338,6.87,
0.53,A0,A6,A3,1830,5.22,5.24
2.08,A0,A2,A4,18124,8.22,
0.3,A4,A1,A2,1208,4.47,4.35
0.24,A1,A1,,475,3.95,4.01
0.51,A0,A3,A1,1590,5.18,
0.75,A3,A1,A0,3105,5.99,
0.9,A1,A0,A3,3102,6.11,
1.02,A2,A2,A1,5943,6.24,6.31
0.32,A3,A2,,561,4.32,
1.12,A3,A4,A4,4641,6.77,6.72
0.53,A3,A5,A3,1383,5.26,5.18
1.11,A3,A3,A4,4581,6.61,6.63
